date_year,date_month,H0,H3,H6,H9,H12,recession
1994,11,6.79958628434145e-23,1.07325665059662e-16,2.16931300264535e-13,3.63386377591222e-11,1.32242636496594e-09,0
1994,12,6.32301879634774e-23,2.57700370050876e-17,6.95926850509185e-14,2.25915499915616e-11,1.24016293192786e-09,0
1995,1,1.5085326232547e-22,1.50385441977932e-17,4.93295735127239e-14,5.28409415876523e-11,6.84903459899991e-10,0
1995,2,7.37580820992113e-22,5.41794171484562e-18,2.91421768290106e-14,7.07150716220138e-12,9.35555804897087e-10,0
1995,3,1.42367132206743e-20,1.11645189962487e-17,2.03706029559182e-14,4.6496213381456e-12,1.30015876548692e-09,0
1995,4,2.28553199537351e-18,4.781881591735e-18,5.37514456988782e-15,8.51603776309751e-12,2.27876494445897e-09,0
1995,5,7.71852571306145e-17,7.37058182596814e-18,1.63774651709527e-15,4.0873753592465e-12,3.59088597401218e-10,0
1995,6,1.40973563334038e-14,1.48416440965766e-16,7.07015872833578e-15,5.14311994316722e-12,4.04892043090818e-10,0
1995,7,5.44837688535957e-13,2.72368804753964e-14,1.53055360480148e-14,1.93642857034552e-12,8.31778434817898e-10,0
1995,8,1.06447201556682e-11,5.00905666887272e-13,5.18415981864415e-14,1.09220204061682e-12,7.34547558919932e-10,0
1995,9,1.62773113100953e-10,1.60837034500188e-11,8.84454230624879e-13,4.25845792546313e-12,1.09914844565453e-09,0
1995,10,1.56028811989396e-08,2.78278125827061e-10,2.21986362546774e-11,6.88408277934369e-12,3.33547687066259e-10,0
1995,11,8.01883632860105e-07,2.74529975787198e-09,1.35145465342068e-10,8.00114502274959e-12,8.08059028457629e-11,0
1995,12,2.05963849318323e-05,2.55974398211842e-08,2.51341987857167e-09,7.9554734917492e-11,1.5812073987558e-10,0
1996,1,0.00219796313890837,4.05354879409682e-07,1.62297609758786e-08,1.49314385873804e-09,3.47590945054438e-10,0
1996,2,0.00346532681823358,4.97764875809805e-06,7.85284828529709e-08,7.18829290703401e-09,1.02689564760328e-09,0
1996,3,0.0117220028214653,3.75500251391787e-05,3.91565933987942e-07,7.86239988793364e-08,1.51424576788124e-08,0
1996,4,0.00346587948425276,0.000538667685534197,1.65819512021112e-06,2.44030163855966e-07,1.09423801202824e-07,0
1996,5,2.72262131336954e-05,0.000272841392558873,9.78811838573315e-06,8.61884163753432e-07,2.85918516946647e-07,0
1996,6,1.25627723608296e-06,0.000516597607887224,4.34751027923856e-05,2.68352312082501e-06,1.90435074762923e-06,0
1996,7,3.62675103782235e-07,0.00045231868985489,0.000348697952196041,1.08289355263765e-05,5.87687321359278e-06,0
1996,8,6.78010780073713e-09,5.35537524907287e-06,0.000146510749336436,5.55594164275969e-05,2.02676141263031e-05,0
1996,9,4.89688120535976e-10,7.82469534154649e-08,0.000198229290387542,0.00019356245313344,8.05997058346643e-05,0
1996,10,5.59620596933501e-11,8.14675274634049e-08,6.37206192480658e-05,0.000496525873528927,0.000190632091252493,0
1996,11,4.89569320268456e-12,1.09124710301146e-08,6.17802871928261e-07,5.26259756675658e-05,0.000569816220728341,0
1996,12,2.34591025487228e-14,1.28518909279614e-09,5.45049123355256e-08,0.00014133440988268,0.00148458632256719,0
1997,1,5.80721009424383e-15,5.37589311100765e-11,8.15283558459496e-09,6.10919917081918e-05,0.0023226731965103,0
1997,2,5.19850391531317e-16,5.85029291067841e-12,1.18217753042182e-09,1.3966979639486e-07,0.000343475173814099,0
1997,3,1.12990453673322e-15,3.55636253210311e-12,4.31849967518073e-09,2.14830639611959e-07,0.0010329121225645,0
1997,4,3.65705498430626e-14,3.94326805803501e-14,1.40089333992035e-11,5.67853892482257e-08,0.000631010373691535,0
1997,5,2.88937734437216e-13,2.18689011328301e-15,1.34062885929917e-12,5.22861279444244e-09,6.1720937830228e-07,0
1997,6,2.28723031305049e-13,2.53729885773069e-14,2.89440546274563e-12,4.62203405271123e-08,1.43983283764588e-06,0
1997,7,1.38146330889105e-14,3.69564097654676e-11,1.21179021332755e-12,1.19291867636765e-10,2.87722856505155e-07,0
1997,8,2.19673868242415e-15,4.62268514372724e-11,1.21118049844759e-12,2.50990370713684e-11,7.43373731016461e-08,0
1997,9,2.11074430934717e-15,2.50936144740696e-11,1.68734336695304e-11,1.88739619389087e-10,3.09539420905836e-07,0
1997,10,9.12771552643338e-16,4.19406842430603e-12,1.44946715173252e-09,1.80208939842602e-10,2.29876701366114e-09,0
1997,11,4.79898498640079e-16,7.7072822249637e-12,1.61779529394815e-09,2.30408823148959e-11,1.00592017591563e-10,0
1997,12,1.10851310060163e-15,1.31542441617011e-11,1.19066753906667e-09,9.48091055299781e-11,3.27550483607459e-10,0
1998,1,2.75870283191541e-15,5.53609504966834e-12,2.57667851414911e-10,5.23529356998596e-08,4.23265842839282e-10,0
1998,2,7.12749565438167e-15,1.57170593915326e-12,2.01316893554143e-10,1.23359157009263e-08,7.53064161044398e-10,0
1998,3,2.86081999882352e-13,4.22874597175648e-12,4.6098809541798e-10,1.48801105815427e-08,1.10314738630883e-08,0
1998,4,6.54355613399044e-12,1.73108543020554e-11,4.34400466595483e-10,3.2394085516204e-09,1.36057656749213e-06,0
1998,5,1.25163301086243e-11,9.86112251299332e-11,8.48946403335174e-10,1.55148313538459e-08,3.1647067015294e-07,0
1998,6,5.22736644819956e-10,1.36529848165841e-09,2.2838194459906e-09,6.15584568869569e-08,5.93878822703027e-07,0
1998,7,1.09308026068182e-08,3.10431207552721e-08,2.06417544279532e-08,1.3615105273186e-07,4.20763282703248e-07,0
1998,8,4.30681150048638e-07,9.89263969161124e-08,1.10480726616185e-07,3.08694507194395e-07,2.35413362959837e-06,0
1998,9,2.10781612371732e-05,6.07835303310619e-07,6.74249085020113e-07,6.27843549366502e-07,6.04321542998125e-06,0
1998,10,3.08074280254094e-05,2.30108439094428e-06,2.87238991752871e-06,2.46026135870991e-06,8.51744001222082e-06,0
1998,11,0.00180555554365396,5.60268552170318e-05,2.68265230946597e-06,4.88144580637219e-06,1.77982178845991e-05,0
1998,12,0.00542228875088503,0.00166342190094433,7.8580723049484e-06,2.08060783597018e-05,2.77880201066175e-05,0
1999,1,0.00280798613403016,0.00417186189592988,1.84212350840653e-05,6.35532323964919e-05,9.00131506202622e-05,0
1999,2,0.00018937588246974,0.0198353506431237,0.000466440333276246,3.81127696548258e-05,0.000247783255965557,0
1999,3,4.02664673835514e-05,0.0176740873340963,0.0102882631706081,0.000115289705811268,0.000721474094477064,0
1999,4,5.33246204982829e-06,0.00146053283775233,0.00606995990421407,0.000268033446400741,0.00193878088251629,0
1999,5,1.77055600662269e-07,0.000345118533836394,0.00452077561962204,0.000792663556070883,0.000692053671520197,0
1999,6,1.85416343481339e-09,9.56765527369665e-05,0.00176358753559288,0.0116727947862572,0.00112696551047328,0
1999,7,4.54611553526995e-11,2.84700400648468e-05,0.00033084988961369,0.0113299865810121,0.00181894410814303,0
1999,8,1.64569069714726e-12,6.3043785222443e-07,7.49123566868027e-05,0.00139244872573843,0.00667536081528309,0
1999,9,4.66418712916588e-13,8.38846681368832e-08,6.97960374403465e-05,0.00105143474041449,0.0516249378803048,0
1999,10,2.30027600609017e-13,5.74988264360365e-09,1.92397260790651e-05,0.000224380376538093,0.0868250231626438,0
1999,11,2.2765343745593e-13,1.90959670470179e-09,2.73364483543616e-06,0.000189414049876485,0.0107380241174102,0
1999,12,5.41545754532961e-14,1.16981111219007e-09,4.9945726325761e-07,0.000112707583657519,0.00190713222447801,0
2000,1,6.78910672513055e-15,2.04168333349511e-09,3.1895722499708e-07,0.000248184937525554,0.00125321528595122,0
